ID: 0723c308-b9f4-4f7c-9917-615727afc628

GOLD TABLE:
|          | ID     | Type          | Nodes       | Edges       | Number of layers   | CC         |
|---------:|:-------|:--------------|:------------|:------------|:-------------------|:-----------|
|  2838900 | ['32'] | ['Genetic']   | ['582']     | ['620']     | ['5']              | ['109']    |
|   231286 | ['33'] | ['Genetic']   | ['17770']   | ['8473997'] | ['4']              | ['4']      |
|  8255435 | ['7']  | ['Neuronal']  | ['791']     | ['5863']    | ['3']              | ['6']      |
| 14784546 | ['23'] | ['Social']    | ['3457453'] | ['4061960'] | ['3']              | ['651141'] |
| 79410684 | ['3']  | ['Social']    | ['674']     | ['1551']    | ['3']              | ['12']     |
|  9281429 | ['4']  | ['Social']    | ['224']     | ['620']     | ['5']              | ['13']     |
| 56166159 | ['25'] | ['Social']    | ['26']      | ['35']      | ['2']              | ['2']      |
| 15565456 | ['20'] | ['Transport'] | ['399']     | ['441']     | ['3']              | ['3']      |

GOLD SCHEMA:
0: ID
1: Type
2: Nodes
3: Edges
4: Number of layers
5: CC

PREDICTION PATH:../../metric_validation_0/0723c308-b9f4-4f7c-9917-615727afc628/mixtral/ours_outputs/try_0.json

PREDICTED TABLE:
|          | types of interactions                 | data format                                 | availability                                                                                                                                                          |
|:---------|:--------------------------------------|:--------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| paper_1  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_2  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_3  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_4  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_5  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_6  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_7  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_8  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_9  | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
| paper_10 | ['physical and genetic interactions'] | ['tab-delimited text files and PSI-MI XML'] | nan                                                                                                                                                                   |
